ID,Timestamp,Video Source,Frame,Video Time (s),Track ID,Similarity,Confirmed,Bbox,Clip Path
1,2026-05-15 19:54:27.325900,data/videos/walk.mp4,24,0.8,23,0.708780825138092,False,"(1944,635,1971,669)",
2,2026-05-15 19:54:55.190856,data/videos/walk.mp4,27,0.9,15,0.7978982925415039,False,"(1938,633,1969,670)",
3,2026-05-15 19:56:01.982400,data/videos/walk.mp4,33,1.1,23,0.7164742946624756,False,"(1925,638,1958,678)",
4,2026-05-15 19:57:11.146376,data/videos/walk.mp4,42,1.4,21,0.6357422471046448,False,"(1921,623,1954,662)",
5,2026-05-15 19:58:05.605880,data/videos/walk.mp4,48,1.6,21,0.6501566171646118,False,"(1921,628,1956,668)",
6,2026-05-15 19:58:32.699915,data/videos/walk.mp4,51,1.7,21,0.6072590351104736,True,"(1922,624,1957,666)",
7,2026-05-15 19:59:07.810675,data/videos/walk.mp4,54,1.8,21,0.6378382444381714,True,"(1922,617,1955,658)",
8,2026-05-15 19:59:31.042047,data/videos/walk.mp4,57,1.9,21,0.6621068120002747,True,"(1919,610,1954,654)",
9,2026-05-15 19:59:58.977476,data/videos/walk.mp4,60,2.0,21,0.6840220093727112,True,"(1912,612,1947,655)",
10,2026-05-15 20:00:29.482611,data/videos/walk.mp4,63,2.1,15,0.6031535267829895,False,"(1909,617,1944,659)",
11,2026-05-15 20:01:37.102001,data/videos/walk.mp4,66,2.2,21,0.5924139022827148,True,"(1903,615,1940,660)",
12,2026-05-15 20:02:31.847378,data/videos/walk.mp4,69,2.3,15,0.5561541318893433,False,"(1902,608,1937,650)",
13,2026-05-15 20:03:00.545014,data/videos/walk.mp4,72,2.4,15,0.5215717554092407,True,"(1904,601,1942,646)",
14,2026-05-15 20:03:39.463714,data/videos/walk.mp4,75,2.5,15,0.6019200086593628,True,"(1907,601,1945,645)",
15,2026-05-15 20:04:11.467477,data/videos/walk.mp4,78,2.6,15,0.5897619724273682,True,"(1914,605,1949,648)",
16,2026-05-15 20:04:38.421689,data/videos/walk.mp4,81,2.7,21,0.5938236713409424,True,"(1919,605,1958,649)",
17,2026-05-15 20:05:00.988789,data/videos/walk.mp4,84,2.8,15,0.5563832521438599,True,"(1930,599,1967,645)",
